Environment & Wildlife,,,,
Name,URL,Description,Cost,Details
Open Water Oil Spill Identification,https://response.restoration.noaa.gov/sites/default/files/OWJA\_2016.pdf,PDF of US dep of Commerce to assess color/appearance and structure/distribution of oil spilled on the water.,Free,🛢️
Poach Tracker (Oxpeckers),https://oxpeckers.org/poach-tracker-map/,Rhino death's across Southern Africa, mapped.,Free,🦏
Rhino Courtcases (Oxpeckers),https://oxpeckers.org/rhinocourtcasesmap/,Courtcases in Southern Africa related to Rhino poaching, mapped,Free,🦏
River Runner Global,https://river-runner-global.samlearner.com/,Calculate which water stream a drop of rain will follow,Free,💧
Satellite Detected Gas Flaring,https://viirs.skytruth.org/apps/heatmap/flaringmap.html#lat=52.33314\&lon=6.46027\&zoom=7\&offset=27,,Free,🔥
Unitar Disaster & Damage Assessment,,Unitar satellite imagery & maps of floodings, fires, conflict & internally displaced persons,Free,🔥
WildEye Asia (Oxpeckers),,Seizures, arrests, court cases and convinctions related to illegal wildlife trade, in Africa and Asia Pacific, mapped,Free,🛃
WildEye Europe (Oxpeckers),,Seizures, arrests, court cases and convinctions related to illegal wildlife trade, in Europe, mapped,Free,🛃
WildMe & WildBook,https://wildme.org/#/platforms/bass,Open source pattern recognition software to identify unique whales, sharks, zebras, jaguars, skunks, fish and much more.,Free,🐳
Wind & Particulate Map,https://earth.nullschool.net/#current/particulates/surface/level/overlay=pm2.5/orthographic=-28.21,30.66,553,Map that visualizes wind, particulaes, and other data,Free,
World Database Protected Areas,https://www.protectedplanet.net/en/thematic-areas/wdpa?tab=WDPA,The most comprehensive global database on terrestrial and marine protected areas.,Free,🗺️
